0;0
1;0
2;1
3;2
4;2
5;4
6;4
7;6
8;6
9;8
10;8
11;12
12;12
13;19
14;19
15;25
16;25
17;34
18;34
19;42
20;42
21;62
22;62
23;90
24;90
25;146
26;146
27;262
28;262
29;473
30;473
31;847
32;847
33;1319
34;1319
35;2049
36;2049
37;3105
38;3105
39;3704
40;3704
41;5395
42;5395
43;7783
44;7783
45;11881
46;11881
47;17460
48;17460
49;28579
50;28579
51;45272
52;45272
53;75886
54;75886
55;140208
56;140208
57;237290
58;237290
59;393697
60;393697
61;582544
62;582544
63;941448
64;941448
65;1644754
66;1644754
67;2466526
68;2466526
69;3625363
70;3625363
71;5617232
72;5617232
73;8749683
74;8749683
75;13739317
76;13739317
77;22498553
78;22498553
79;35950947
80;35950947
81;57029880
82;57029880
83;94062016
84;94062016
85;155299309
86;155299309
87;254545178
88;254545178
89;413778699
90;413778699
91;680372762
92;680372762
93;1018825685
94;1018825685
95;1278452169
96;1278452169
97;1771298739
98;1771298739
99;2732505565
100;2732505565
101;4098818244
102;4098818244
103;6658621617
104;6658621617
105;9051001624
106;9051001624
107;12383374706
108;12383374706
109;20736341858
110;20736341858
111;36768387152
112;36768387152
113;58051487782
114;58051487782
115;89031110615
116;89031110615
117;154006015742
118;154006015742
119;247414883780
120;247414883780
121;355471995866
122;355471995866
123;567154975453
124;567154975453
125;991237287914
126;991237287914
127;1699359805143
128;1699359805143
129;2866696765337
130;2866696765337
131;3863201716641
132;3863201716641
133;4563504267579
134;4563504267579
135;6281596285549
136;6281596285549
137;9922149681209
138;9922149681209
139;14463816100138
140;14463816100138
141;20571740188555
